(libcudf-tutorial) jazracherif@spark-d5e1:~/code/nvidia/libcudf_tutorial$ nsys stats --report nvtx_pushpop_trace reports/libcudf_groupby.nsys-rep

NOTICE: Existing SQLite export found: reports/libcudf_groupby.sqlite
        It is assumed file was previously exported from: reports/libcudf_groupby.nsys-rep
        Consider using --force-export=true if needed.

Processing [reports/libcudf_groupby.sqlite] with [/opt/nvidia/nsight-systems/2025.3.2/host-linux-armv8/reports/nvtx_pushpop_trace.py]... 

 ** NVTX Push/Pop Range Trace (nvtx_pushpop_trace):

 Start (ns)    End (ns)    Duration (ns)  DurChild (ns)  DurNonChild (ns)                                                  Name                                                   PID     TID    Lvl  NumChild  RangeId  ParentId     RangeStack                                                    NameTree                                              
 908,588,256  908,622,128         33,872              0            33,872  CCCL:cub::DeviceCopy::Batched                                                                         14,875  14,875    4         0      117       116  :2:113:115:116:1…  --------CCCL:cub::DeviceCopy::Batched                                                               
 908,970,624  914,661,408      5,690,784        114,224         5,576,560  libcudf:decode_page_data                                                                              14,875  14,875    2         3      118       113  :2:113:118         ----libcudf:decode_page_data                                                                        
 908,984,432  909,030,320         45,888              0            45,888  CCCL:thrust::exclusive_scan_by_key                                                                    14,875  14,875    3         0      119       118  :2:113:118:119     ------CCCL:thrust::exclusive_scan_by_key                                                            
 909,041,104  909,063,744         22,640              0            22,640  CCCL:cub::DeviceReduce::ReduceByKey                                                                   14,875  14,875    3         0      120       118  :2:113:118:120     ------CCCL:cub::DeviceReduce::ReduceByKey                                                           
 914,383,840  914,429,536         45,696              0            45,696  CCCL:cub::DeviceMemcpy::Batched                                                                       14,875  14,875    3         0      121       118  :2:113:118:121     ------CCCL:cub::DeviceMemcpy::Batched                                                               
 914,670,960  914,671,104            144              0               144  libcudf:make_strings_column                                                                           14,875  14,875    2         0      122       113  :2:113:122         ----libcudf:make_strings_column                                                                     
 914,672,784  914,672,896            112              0               112  libcudf:make_strings_column                                                                           14,875  14,875    2         0      123       113  :2:113:123         ----libcudf:make_strings_column                                                                     
 914,683,216  914,683,600            384              0               384  libcudf:enforce_null_consistency                                                                      14,875  14,875    2         0      124       113  :2:113:124         ----libcudf:enforce_null_consistency                                                                
 914,684,944  914,692,768          7,824              0             7,824  libcudf:finalize_output                                                                               14,875  14,875    2         0      125       113  :2:113:125         ----libcudf:finalize_output                                                                         
 914,737,856  914,769,680         31,824         31,360               464  libkvikio:kvikio::FileHandle::~FileHandle()                                                           14,875  14,875    1         1      126         2  :2:126             --libkvikio:kvikio::FileHandle::~FileHandle()                                                       
 914,738,272  914,769,632         31,360         30,400               960  libkvikio:void kvikio::FileHandle::close()                                                            14,875  14,875    2         3      127       126  :2:126:127         ----libkvikio:void kvikio::FileHandle::close()                                                      
 914,738,768  914,766,560         27,792              0            27,792  libkvikio:void kvikio::CUFileHandleWrapper::unregister_handle()                                       14,875  14,875    3         0      128       127  :2:126:127:128     ------libkvikio:void kvikio::CUFileHandleWrapper::unregister_handle()                               
 914,766,816  914,768,576          1,760              0             1,760  libkvikio:void kvikio::FileWrapper::close()                                                           14,875  14,875    3         0      129       127  :2:126:127:129     ------libkvikio:void kvikio::FileWrapper::close()                                                   
 914,768,736  914,769,584            848              0               848  libkvikio:void kvikio::FileWrapper::close()                                                           14,875  14,875    3         0      130       127  :2:126:127:130     ------libkvikio:void kvikio::FileWrapper::close()                                                   
 914,769,776  914,769,824             48              0                48  libkvikio:void kvikio::CUFileHandleWrapper::unregister_handle()                                       14,875  14,875    1         0      131         2  :2:131             --libkvikio:void kvikio::CUFileHandleWrapper::unregister_handle()                                   
 914,769,888  914,770,256            368             48               320  libkvikio:kvikio::FileWrapper::~FileWrapper()                                                         14,875  14,875    1         1      132         2  :2:132             --libkvikio:kvikio::FileWrapper::~FileWrapper()                                                     
 914,770,096  914,770,144             48              0                48  libkvikio:void kvikio::FileWrapper::close()                                                           14,875  14,875    2         0      133       132  :2:132:133         ----libkvikio:void kvikio::FileWrapper::close()                                                     
 914,770,320  914,770,560            240             48               192  libkvikio:kvikio::FileWrapper::~FileWrapper()                                                         14,875  14,875    1         1      134         2  :2:134             --libkvikio:kvikio::FileWrapper::~FileWrapper()                                                     
 914,770,464  914,770,512             48              0                48  libkvikio:void kvikio::FileWrapper::close()                                                           14,875  14,875    2         0      135       134  :2:134:135         ----libkvikio:void kvikio::FileWrapper::close()                                                     
 915,989,952  932,088,624     16,098,672     10,253,152         5,845,520  libcudf:aggregate                                                                                     14,875  14,875    0        15      136            :136               libcudf:aggregate                                                                                   
 916,036,032  919,542,128      3,506,096              0         3,506,096  CCCL:cub::DeviceFor::Bulk                                                                             14,875  14,875    1         0      137       136  :136:137           --CCCL:cub::DeviceFor::Bulk                                                                         
 924,120,144  924,152,240         32,096         30,160             1,936  CCCL:uninitialized_fill                                                                               14,875  14,875    1         1      138       136  :136:138           --CCCL:uninitialized_fill                                                                           
 924,121,680  924,151,840         30,160              0            30,160  CCCL:cub::DeviceFor::Bulk                                                                             14,875  14,875    2         0      139       138  :136:138:139       ----CCCL:cub::DeviceFor::Bulk                                                                       
 924,221,248  924,250,208         28,960              0            28,960  CCCL:cub::DeviceSelect::If                                                                            14,875  14,875    1         0      140       136  :136:140           --CCCL:cub::DeviceSelect::If                                                                        
 924,410,608  924,985,856        575,248              0           575,248  CCCL:thrust::scatter                                                                                  14,875  14,875    1         0      141       136  :136:141           --CCCL:thrust::scatter                                                                              
 924,987,344  925,463,584        476,240        474,928             1,312  CCCL:thrust::for_each_n                                                                               14,875  14,875    1         1      142       136  :136:142           --CCCL:thrust::for_each_n                                                                           
 924,988,080  925,463,008        474,928              0           474,928  CCCL:cub::DeviceFor::ForEachN                                                                         14,875  14,875    2         0      143       142  :136:142:143       ----CCCL:cub::DeviceFor::ForEachN                                                                   
 925,612,832  925,620,288          7,456          5,360             2,096  libcudf:make_fixed_width_column                                                                       14,875  14,875    1         1      144       136  :136:144           --libcudf:make_fixed_width_column                                                                   
 925,614,704  925,620,064          5,360              0             5,360  libcudf:make_numeric_column                                                                           14,875  14,875    2         0      145       144  :136:144:145       ----libcudf:make_numeric_column                                                                     
 925,622,768  925,623,568            800              0               800  libcudf:mutable_view                                                                                  14,875  14,875    1         0      146       136  :136:146           --libcudf:mutable_view                                                                              
 925,626,240  925,643,408         17,168              0            17,168  CCCL:thrust::fill                                                                                     14,875  14,875    1         0      147       136  :136:147           --CCCL:thrust::fill                                                                                 
 925,644,032  925,644,112             80              0                80  libcudf:mutable_view                                                                                  14,875  14,875    1         0      148       136  :136:148           --libcudf:mutable_view                                                                              
 925,952,208  925,955,712          3,504              0             3,504  libcudf:make_numeric_column                                                                           14,875  14,875    1         0      149       136  :136:149           --libcudf:make_numeric_column                                                                       
 925,956,096  925,956,416            320              0               320  libcudf:mutable_view                                                                                  14,875  14,875    1         0      150       136  :136:150           --libcudf:mutable_view                                                                              
 925,971,680  931,569,920      5,598,240              0         5,598,240  CCCL:thrust::exclusive_scan                                                                           14,875  14,875    1         0      151       136  :136:151           --CCCL:thrust::exclusive_scan                                                                       
 931,861,808  931,863,920          2,112              0             2,112  libcudf:make_strings_column                                                                           14,875  14,875    1         0      152       136  :136:152           --libcudf:make_strings_column                                                                       
 931,874,672  931,878,272          3,600              0             3,600  libcudf:create_null_mask                                                                              14,875  14,875    1         0      153       136  :136:153           --libcudf:create_null_mask                                                                          
 931,880,464  931,881,696          1,232            160             1,072  libcudf:mutable_view                                                                                  14,875  14,875    1         1      154       136  :136:154           --libcudf:mutable_view                                                                              
 931,880,896  931,881,056            160              0               160  libcudf:mutable_view                                                                                  14,875  14,875    2         0      155       154  :136:154:155       ----libcudf:mutable_view                                    
